subset,xy_group_id,lon,lat,pais_grupo,tipo_grupo_original,n_registros_original,n_registros_subset,estado_xy_subset,source_rowid,pais,fuente,anio,nivel_0,nivel_1,nivel_2
ventana_2018_2022,XY_000001098167,-84.3551408086,10.0837955308,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,420746,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales",332 Pastizales naturales y cultivados
ventana_2018_2022,XY_000001098167,-84.3551408086,10.0837955308,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,420752,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales",331 Granos básicos y hortalizas  y otros
ventana_2018_2022,XY_000001101953,-84.3375601913,10.5943528413,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,489950,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,40 Tierras Forestales,41 Bosque latifoliado y mixto,410 Bosque latifoliado y mixto
ventana_2018_2022,XY_000001101953,-84.3375601913,10.5943528413,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,492055,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales",332 Pastizales naturales y cultivados
ventana_2018_2022,XY_000001101993,-84.33737119129998,10.4197019195,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,476152,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,40 Tierras Forestales,41 Bosque latifoliado y mixto,410 Bosque latifoliado y mixto
ventana_2018_2022,XY_000001101993,-84.33737119129998,10.4197019195,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,476896,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales",332 Pastizales naturales y cultivados
ventana_2018_2022,XY_000001102126,-84.33694,10.4197019195,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,476153,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,40 Tierras Forestales,41 Bosque latifoliado y mixto,410 Bosque latifoliado y mixto
ventana_2018_2022,XY_000001102126,-84.33694,10.4197019195,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,476898,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales",332 Pastizales naturales y cultivados
ventana_2018_2022,XY_000001102251,-84.3367161913,9.790095,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,303617,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,40 Tierras Forestales,41 Bosque latifoliado y mixto,410 Bosque latifoliado y mixto
ventana_2018_2022,XY_000001102251,-84.3367161913,9.790095,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,308392,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales",332 Pastizales naturales y cultivados
ventana_2018_2022,XY_000001102252,-84.3367161913,9.7905199117,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,303618,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,40 Tierras Forestales,41 Bosque latifoliado y mixto,410 Bosque latifoliado y mixto
ventana_2018_2022,XY_000001102252,-84.3367161913,9.7905199117,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,308393,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales",332 Pastizales naturales y cultivados
ventana_2018_2022,XY_000001102466,-84.33654319129998,9.6158578672,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,174565,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,40 Tierras Forestales,41 Bosque latifoliado y mixto,410 Bosque latifoliado y mixto
ventana_2018_2022,XY_000001102466,-84.33654319129998,9.6158578672,Costa Rica,conflicto_tematico_xy,2,2,conflicto_tematico_subset,183045,Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",2021,30 Tierras de Cultivo y Pastos,"33 Cultivos extensivos, Pastizales y matorrales",332 Pastizales naturales y cultivados
