field_name,valor,n
Id,1404456,2
Id,1404455,2
Id,1404298,2
Id,1404229,2
Id,1404228,2
Id,1404227,2
Id,1404226,2
Id,1404225,2
Id,1404224,2
Id,1404223,2
Id,1404222,2
Id,1404221,2
Id,1370965,2
Id,1370964,2
Id,1370963,2
Id,1370962,2
Id,1370961,2
Id,1370960,2
Id,1370959,2
Id,1370958,2
Id,1370957,2
Id,1370821,2
Id,1370818,2
Id,1370817,2
Id,1370816,2
Id,1370813,2
Id,1370809,2
Id,1370808,2
Id,1370807,2
Id,1370806,2
Id,1370805,2
Id,1370804,2
Id,1368256,2
Id,1368253,2
Id,1368250,2
Id,940378,2
Id,940377,2
Id,940376,2
Id,940375,2
Id,940374,2
Id,940373,2
Id,940372,2
Id,940371,2
Id,940370,2
Id,940368,2
Id,940367,2
Id,940366,2
Id,940365,2
Id,940363,2
Id,940362,2
Id,940361,2
Id,940358,2
Id,940357,2
Id,940356,2
Id,939098,2
Id,939097,2
Id,939096,2
Id,939095,2
Id,939094,2
Id,939093,2
Id,939092,2
Id,939091,2
Id,939090,2
Id,939089,2
Id,939088,2
Id,939087,2
Id,939086,2
Id,939085,2
Id,939084,2
Id,939083,2
Id,939082,2
Id,939081,2
Id,939080,2
Id,939079,2
Id,912378,2
Id,912377,2
Id,912376,2
Id,912375,2
Id,912374,2
Id,912373,2
Id,912372,2
Id,912371,2
Id,912370,2
Id,912369,2
Id,912368,2
Id,912367,2
Id,912366,2
Id,912365,2
Id,912363,2
Id,912362,2
Id,912361,2
Id,912358,2
Id,912357,2
Id,912356,2
Id,909238,2
Id,909233,2
Id,909076,2
Id,909075,2
Id,909074,2
Id,909072,2
Id,909071,2
Id,909070,2
Id,909069,2
Id,909067,2
Id,909066,2
Id,909065,2
Id,909064,2
Id,909062,2
Id,909061,2
Id,909060,2
Id,909059,2
Id,909058,2
Id,909057,2
Id,909056,2
Id,909055,2
Id,909054,2
Id,908528,2
Id,908527,2
Id,908526,2
Id,908525,2
Id,908524,2
Id,908523,2
Id,908522,2
Id,908521,2
Id,908520,2
Id,908519,2
Id,908518,2
Id,908517,2
Id,908516,2
Id,908515,2
Id,908514,2
Id,908513,2
Id,908512,2
Id,908511,2
Id,908510,2
Id,908509,2
Id,908506,2
Id,908505,2
Id,908504,2
Id,873828,2
Id,873827,2
Id,873826,2
Id,873825,2
Id,873824,2
Id,873823,2
Id,873822,2
Id,873821,2
Id,873820,2
Id,873818,2
Id,873817,2
Id,873816,2
Id,873815,2
Id,873813,2
Id,873812,2
Id,873811,2
Id,873808,2
Id,873807,2
Id,873806,2
Id,872548,2
Id,872547,2
Id,872546,2
Id,872545,2
Id,872544,2
Id,872543,2
Id,872542,2
Id,872541,2
Id,872540,2
Id,872539,2
Id,872538,2
Id,872537,2
Id,872536,2
Id,872535,2
Id,872534,2
Id,872533,2
Id,872532,2
Id,872531,2
Id,872530,2
Id,872529,2
Id,845828,2
Id,845827,2
Id,845826,2
Id,845825,2
Id,845824,2
Id,845823,2
Id,845822,2
Id,845821,2
Id,845820,2
Id,845819,2
Id,845818,2
Id,845817,2
Id,845816,2
Id,845815,2
Id,845813,2
Id,845812,2
Id,845811,2
Id,845808,2
Id,845807,2
Id,845806,2
Id,842688,2
Id,842683,2
Id,842526,2
Id,842525,2
Id,842524,2
Id,842522,2
Id,842521,2
Id,842520,2
Id,842519,2
Id,842517,2
Id,842516,2
Id,842515,2
Id,842514,2
Id,842512,2
Id,842511,2
Id,842510,2
Id,842509,2
Id,842508,2
Id,842507,2
Id,842506,2
Id,842505,2
Id,842504,2
Id,841978,2
Id,841977,2
Id,841976,2
Id,841975,2
Id,841974,2
Id,841973,2
Id,841972,2
Id,841971,2
Id,841970,2
Id,841969,2
Id,841968,2
Id,841967,2
Id,841966,2
Id,841965,2
Id,841964,2
Id,841963,2
Id,841962,2
Id,841961,2
Id,841960,2
Id,841959,2
Id,841956,2
Id,841955,2
Id,841954,2
Id,807278,2
Id,807277,2
Id,807276,2
Id,807275,2
Id,807274,2
Id,807273,2
Id,807272,2
Id,807271,2
Id,807270,2
Id,807268,2
Id,807267,2
Id,807266,2
Id,807265,2
Id,807263,2
Id,807262,2
Id,807261,2
Id,807258,2
Id,807257,2
Id,807256,2
Id,805998,2
Id,805997,2
Id,805996,2
Id,805995,2
Id,805994,2
Id,805993,2
Id,805992,2
Id,805991,2
Id,805990,2
Id,805989,2
Id,805988,2
Id,805987,2
Id,805986,2
Id,805985,2
Id,805984,2
Id,805983,2
Id,805982,2
Id,805981,2
Id,805980,2
Id,805979,2
Id,779278,2
Id,779277,2
Id,779276,2
Id,779275,2
Id,779274,2
Id,779273,2
Id,779272,2
Id,779271,2
Id,779270,2
Id,779269,2
Id,779268,2
Id,779267,2
Id,779266,2
Id,779265,2
Id,779263,2
Id,779262,2
Id,779261,2
Id,779258,2
Id,779257,2
Id,779256,2
Id,776138,2
Id,776133,2
Id,775976,2
Id,775975,2
Id,775974,2
Id,775972,2
Id,775971,2
Id,775970,2
Id,775969,2
Id,775967,2
Id,775966,2
Id,775965,2
Id,775964,2
Id,775962,2
Id,775961,2
Id,775960,2
Id,775959,2
Id,775958,2
Id,775957,2
Id,775956,2
Id,775955,2
Id,775954,2
Id,775428,2
Id,775427,2
Id,775426,2
Id,775425,2
Id,775424,2
Id,775423,2
Id,775422,2
Id,775421,2
Id,775420,2
Id,775419,2
Id,775418,2
Id,775417,2
Id,775416,2
Id,775415,2
Id,775414,2
Id,775413,2
Id,775412,2
Id,775411,2
Id,775410,2
Id,775409,2
Id,775406,2
Id,775405,2
Id,775404,2
Id,773561,2
Id,768413,2
Id,756306,2
Id,756270,2
Id,755009,2
Id,749861,2
Id,737754,2
Id,737718,2
Id,736457,2
Id,731309,2
Id,719202,2
Id,719166,2
Id,717905,2
Id,712757,2
Id,700650,2
Id,700614,2
Id,699353,2
Id,694205,2
Id,682098,2
Id,682062,2
Id,680801,2
Id,675653,2
Id,663546,2
Id,663510,2
Id,662249,2
Id,657101,2
Id,644994,2
Id,644958,2
Id,643697,2
Id,638549,2
Id,626442,2
Id,626406,2
Id,625145,2
Id,619997,2
Id,607890,2
Id,607854,2
Id,606593,2
Id,601445,2
Id,589338,2
Id,589302,2
Id,588041,2
Id,582893,2
Id,570786,2
Id,570750,2
Id,569489,2
Id,564341,2
Id,552234,2
Id,552198,2
Id,550937,2
Id,545789,2
Id,533682,2
Id,533646,2
Id,532385,2
Id,527237,2
Id,515130,2
Id,515094,2
Id,513833,2
Id,508685,2
Id,496578,2
Id,496542,2
Id,495281,2
Id,490133,2
Id,478026,2
Id,477990,2
Id,476729,2
Id,471581,2
Id,459474,2
Id,459438,2
Id,458177,2
Id,453029,2
Id,440922,2
Id,440886,2
Id,440536,2
Id,440530,2
Id,440525,2
Id,438294,2
Id,437768,2
Id,437689,2
Id,437681,2
Id,430085,2
Id,429167,2
Id,429161,2
Id,429156,2
Id,426925,2
Id,426399,2
Id,426320,2
Id,426312,2
Id,418716,2
Id,417637,2
Id,395914,2
Id,395646,2
Id,373923,2
