xy_group_id,lon,lat,records,n_years,year_min,year_max,n_class_codes,n_class_group_codes,n_sources,country,country_code,has_temporal_repetition,has_thematic_conflict
SRC10_CRI_2021_A1__XY__01d6450bdfc6,-85.778065,10.247673,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__01d69205b096,-85.693389,10.533145,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__01def0444765,-85.241288,10.546058,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__01dfa8a57742,-85.574569,10.51792,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__01ed2ca5330d,-85.493271,10.255139,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__01ed54f2ebad,-85.798646,10.155872,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__01f352d53041,-85.297714,10.14902,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__01f3ae847f2a,-85.800512,10.484005,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__01f9bc225bc1,-85.258307,10.53971,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__01fde3d5b738,-85.391598,10.325029,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__02000b6cd887,-85.569362,10.487241,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__0202f9f7922e,-85.466495,10.396433,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__0212a7dcae16,-85.219251,10.439356,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__02135d078c61,-85.370239,10.103643,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__02195b5acaa4,-85.536422,10.450401,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__021e1b01ee65,-85.670802,10.181416,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__02276669d86b,-85.513262,10.463783,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__022898a8faf9,-85.810139,10.304303,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__022ca931ca18,-85.773525,10.189789,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__022dec58480e,-85.470268,10.299888,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__022fe1f1014b,-85.544487,10.373142,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__023aad350a9b,-85.400664,10.308644,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__023e1dbdaa4f,-85.650137,10.512574,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__0240c67ada9a,-85.596487,10.229782,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__0240e0edb685,-85.748398,10.223705,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__02440ecb4539,-85.812717,10.404314,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__0247a5a685b4,-85.470695,10.391588,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__02481064d038,-85.491976,10.427687,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__02481dba2949,-85.507389,10.116317,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__024de4bd6a0e,-85.274307,10.376741,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__0254aaa79824,-85.680454,10.382661,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__025ab8ef4a10,-85.762839,10.542124,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__025ccd127e3a,-85.347966,10.544604,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__025fc03439cf,-85.529694,10.369593,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__026b88b3d306,-85.477374,10.465158,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
SRC10_CRI_2021_A1__XY__026da99cdf2c,-85.50831,10.311779,1,1,2021,2021,1,1,1,Costa Rica,CRI,0,0
